Date,Predicted,Signal
2025-07-01,506.223561992856,Hold
2025-07-02,506.0016001621914,Sell
2025-07-03,505.94017606465326,Sell
2025-07-04,505.96133735802215,Buy
2025-07-05,505.884686432056,Sell
2025-07-06,505.80472895424424,Sell
2025-07-07,505.75279080975287,Sell
2025-07-08,505.68353495804394,Sell
2025-07-09,505.60250042621976,Sell
2025-07-10,505.52444861415614,Sell
2025-07-11,505.4423097957834,Sell
2025-07-12,505.3536229808979,Sell
2025-07-13,505.2621493362941,Sell
2025-07-14,505.16769545081746,Sell
2025-07-15,505.06924256208083,Sell
2025-07-16,504.9674956142363,Sell
2025-07-17,504.8628187572384,Sell
2025-07-18,504.7550648199059,Sell
2025-07-19,504.64438662082085,Sell
2025-07-20,504.53100316925435,Sell
2025-07-21,504.4149911932824,Sell
2025-07-22,504.2964463816228,Sell
2025-07-23,504.17550051304613,Sell
2025-07-24,504.0522570977224,Sell
2025-07-25,503.9268089949119,Sell
2025-07-26,503.7992556505543,Sell
2025-07-27,503.66969073576104,Sell
2025-07-28,503.5382007107932,Sell
2025-07-29,503.4048701221429,Sell
2025-07-30,503.26978046930515,Sell
