Date,Predicted,Signal
2025-07-01,107745.00397815926,Hold
2025-07-02,107300.44319562166,Sell
2025-07-03,107774.0923820366,Buy
2025-07-04,107833.74665972627,Buy
2025-07-05,107844.48193813609,Buy
2025-07-06,108143.51422583523,Buy
2025-07-07,108158.64248711699,Buy
2025-07-08,108328.74063232602,Buy
2025-07-09,108489.86946705183,Buy
2025-07-10,108577.9317028745,Buy
2025-07-11,108753.48938973513,Buy
2025-07-12,108875.97445102916,Buy
2025-07-13,109010.0443549627,Buy
2025-07-14,109162.5591307681,Buy
2025-07-15,109290.00044619411,Buy
2025-07-16,109436.0391919356,Buy
2025-07-17,109576.84200017103,Buy
2025-07-18,109714.19051376254,Buy
2025-07-19,109859.23858936984,Buy
2025-07-20,109998.70790502324,Buy
2025-07-21,110140.88505837503,Buy
2025-07-22,110283.9963723331,Buy
2025-07-23,110425.34388027969,Buy
2025-07-24,110568.8218524303,Buy
2025-07-25,110711.62725557346,Buy
2025-07-26,110854.64183050142,Buy
2025-07-27,110998.42849935767,Buy
2025-07-28,111141.86198424459,Buy
2025-07-29,111285.8448582788,Buy
2025-07-30,111429.9979640179,Buy
