Date,Predicted,Signal
2025-07-01,0.55877227,Hold
2025-07-02,0.55785245,Sell
2025-07-03,0.5572194,Sell
2025-07-04,0.5568054,Sell
2025-07-05,0.5565668,Sell
2025-07-06,0.5564753,Sell
2025-07-07,0.5565103,Buy
2025-07-08,0.5566608,Buy
2025-07-09,0.5569125,Buy
2025-07-10,0.5572576,Buy
2025-07-11,0.557684,Buy
2025-07-12,0.5581849,Buy
2025-07-13,0.5587526,Buy
2025-07-14,0.55937773,Buy
2025-07-15,0.5600525,Buy
2025-07-16,0.5607709,Buy
2025-07-17,0.56152576,Buy
2025-07-18,0.5623114,Buy
2025-07-19,0.5631209,Buy
2025-07-20,0.56394887,Buy
2025-07-21,0.564791,Buy
2025-07-22,0.5656428,Buy
2025-07-23,0.566497,Buy
2025-07-24,0.56735146,Buy
2025-07-25,0.5682025,Buy
2025-07-26,0.5690469,Buy
2025-07-27,0.5698818,Buy
2025-07-28,0.5707041,Buy
2025-07-29,0.57151127,Buy
2025-07-30,0.5723013,Buy
