Date,Predicted,Signal
2025-07-01,469.58835,Hold
2025-07-02,471.74875,Buy
2025-07-03,473.1565,Buy
2025-07-04,473.9841,Buy
2025-07-05,474.37192,Buy
2025-07-06,474.4351,Buy
2025-07-07,474.26468,Sell
2025-07-08,473.9307,Sell
2025-07-09,473.48508,Sell
2025-07-10,472.9658,Sell
2025-07-11,472.40002,Sell
2025-07-12,471.8066,Sell
2025-07-13,471.19864,Sell
2025-07-14,470.5849,Sell
2025-07-15,469.97144,Sell
2025-07-16,469.362,Sell
2025-07-17,468.75925,Sell
2025-07-18,468.16495,Sell
2025-07-19,467.58005,Sell
2025-07-20,467.00546,Sell
2025-07-21,466.4417,Sell
2025-07-22,465.889,Sell
2025-07-23,465.3475,Sell
2025-07-24,464.8175,Sell
2025-07-25,464.29895,Sell
2025-07-26,463.79187,Sell
2025-07-27,463.29626,Sell
2025-07-28,462.81198,Sell
2025-07-29,462.339,Sell
2025-07-30,461.87714,Sell
