Date,Predicted,Signal
2025-07-01,2504.539,Hold
2025-07-02,2507.506,Buy
2025-07-03,2512.145,Buy
2025-07-04,2517.915,Buy
2025-07-05,2524.4353,Buy
2025-07-06,2531.4392,Buy
2025-07-07,2538.7412,Buy
2025-07-08,2546.2114,Buy
2025-07-09,2553.7646,Buy
2025-07-10,2561.34,Buy
2025-07-11,2568.8984,Buy
2025-07-12,2576.4133,Buy
2025-07-13,2583.8643,Buy
2025-07-14,2591.24,Buy
2025-07-15,2598.5325,Buy
2025-07-16,2605.735,Buy
2025-07-17,2612.8455,Buy
2025-07-18,2619.86,Buy
2025-07-19,2626.778,Buy
2025-07-20,2633.5989,Buy
2025-07-21,2640.3215,Buy
2025-07-22,2646.9463,Buy
2025-07-23,2653.4749,Buy
2025-07-24,2659.9065,Buy
2025-07-25,2666.2424,Buy
2025-07-26,2672.4834,Buy
2025-07-27,2678.6294,Buy
2025-07-28,2684.6829,Buy
2025-07-29,2690.6445,Buy
2025-07-30,2696.5156,Buy
