Date,Actual,Predicted,Signal
2024-08-30,2524.773193359375,2680.9424,Hold
2024-08-31,2517.292724609375,2671.5798,Sell
2024-09-01,2425.538330078125,2661.2664,Sell
2024-09-02,2537.25830078125,2647.2834,Sell
2024-09-03,2417.7060546875,2635.696,Sell
2024-09-04,2448.682861328125,2621.569,Sell
2024-09-05,2367.60009765625,2607.6182,Sell
2024-09-06,2224.994873046875,2591.2607,Sell
2024-09-07,2268.6064453125,2568.6775,Sell
2024-09-08,2293.82763671875,2544.5083,Sell
2024-09-09,2357.637451171875,2521.081,Sell
2024-09-10,2386.74560546875,2501.4724,Sell
2024-09-11,2339.260498046875,2486.3318,Sell
2024-09-12,2359.5947265625,2473.121,Sell
2024-09-13,2443.793212890625,2462.607,Sell
2024-09-14,2410.237060546875,2457.5002,Sell
2024-09-15,2319.560546875,2455.0032,Sell
2024-09-16,2294.479248046875,2451.0728,Sell
2024-09-17,2339.29296875,2445.4553,Sell
2024-09-18,2369.427978515625,2440.5642,Sell
2024-09-19,2461.7314453125,2437.4343,Sell
2024-09-20,2554.9677734375,2439.0757,Buy
2024-09-21,2611.61083984375,2447.3718,Buy
2024-09-22,2579.998291015625,2462.0034,Buy
2024-09-23,2646.548095703125,2479.2,Buy
2024-09-24,2653.94775390625,2500.026,Buy
2024-09-25,2578.73876953125,2522.6968,Buy
2024-09-26,2638.31982421875,2542.846,Buy
2024-09-27,2690.408203125,2562.7578,Buy
2024-09-28,2679.743408203125,2583.5593,Buy
2024-09-29,2644.88671875,2603.6409,Buy
2024-09-30,2600.7236328125,2621.091,Buy
2024-10-01,2451.7822265625,2634.3718,Buy
2024-10-02,2366.98681640625,2638.6309,Buy
2024-10-03,2349.819580078125,2633.4878,Sell
2024-10-04,2413.435302734375,2621.5166,Sell
2024-10-05,2410.873046875,2607.7288,Sell
2024-10-06,2439.311767578125,2593.075,Sell
2024-10-07,2416.478759765625,2579.5293,Sell
2024-10-08,2438.393798828125,2566.4321,Sell
2024-10-09,2370.791259765625,2555.0562,Sell
2024-10-10,2379.755615234375,2542.7769,Sell
2024-10-11,2432.946533203125,2530.7988,Sell
2024-10-12,2474.5810546875,2521.4844,Sell
2024-10-13,2464.021728515625,2515.8877,Sell
2024-10-14,2621.707763671875,2512.6565,Sell
2024-10-15,2604.12109375,2517.1472,Buy
2024-10-16,2592.9609375,2525.9548,Buy
2024-10-17,2596.3203125,2537.0117,Buy
2024-10-18,2640.254638671875,2549.306,Buy
2024-10-19,2637.28955078125,2563.5928,Buy
2024-10-20,2742.489013671875,2578.4858,Buy
2024-10-21,2665.955322265625,2597.1772,Buy
2024-10-22,2615.8828125,2614.6665,Buy
2024-10-23,2500.76171875,2628.814,Buy
2024-10-24,2532.592529296875,2635.756,Buy
2024-10-25,2432.0595703125,2638.7876,Buy
2024-10-26,2476.089111328125,2635.1204,Sell
2024-10-27,2501.956298828125,2628.7896,Sell
2024-10-28,2560.1962890625,2621.7883,Sell
2024-10-29,2639.61083984375,2616.7952,Sell
2024-10-30,2653.408203125,2616.344,Sell
2024-10-31,2507.59716796875,2619.4949,Buy
2024-11-01,2509.633544921875,2619.495,Buy
2024-11-02,2489.23291015625,2617.603,Sell
2024-11-03,2449.88134765625,2613.676,Sell
2024-11-04,2387.522216796875,2607.0308,Sell
2024-11-05,2416.72802734375,2596.475,Sell
2024-11-06,2713.643798828125,2584.823,Sell
2024-11-07,2890.885009765625,2584.0342,Sell
2024-11-08,2944.701171875,2597.1526,Buy
2024-11-09,3039.141357421875,2621.2485,Buy
2024-11-10,3163.491455078125,2655.5332,Buy
2024-11-11,3360.0625,2700.0793,Buy
2024-11-12,3194.424072265625,2757.2148,Buy
2024-11-13,3141.979248046875,2813.8699,Buy
2024-11-14,3043.780517578125,2866.0317,Buy
2024-11-15,3066.367919921875,2909.1323,Buy
2024-11-16,3120.076171875,2945.1836,Buy
2024-11-17,3056.877197265625,2976.8535,Buy
2024-11-18,3179.836669921875,3001.6228,Buy
2024-11-19,3108.6884765625,3025.5042,Buy
2024-11-20,3057.94580078125,3044.7744,Buy
2024-11-21,3362.86083984375,3058.3037,Buy
2024-11-22,3326.1025390625,3079.2104,Buy
2024-11-23,3387.99658203125,3102.1965,Buy
2024-11-24,3356.6005859375,3128.1523,Buy
2024-11-25,3408.45068359375,3153.7002,Buy
2024-11-26,3321.704345703125,3179.955,Buy
2024-11-27,3656.786865234375,3202.094,Buy
2024-11-28,3577.22021484375,3233.5928,Buy
2024-11-29,3595.0625,3266.2158,Buy
2024-11-30,3709.274169921875,3299.1104,Buy
2024-12-01,3703.56396484375,3335.1172,Buy
2024-12-02,3629.7587890625,3371.1487,Buy
2024-12-03,3617.21875,3402.809,Buy
2024-12-04,3831.906494140625,3429.8357,Buy
2024-12-05,3791.025146484375,3460.7869,Buy
2024-12-06,4000.66015625,3490.8728,Buy
2024-12-07,4006.06591796875,3527.2024,Buy
2024-12-08,4004.453857421875,3565.768,Buy
2024-12-09,3715.76123046875,3604.0786,Buy
2024-12-10,3625.715087890625,3629.5698,Buy
2024-12-11,3816.673583984375,3642.714,Buy
2024-12-12,3882.0361328125,3654.42,Buy
2024-12-13,3911.24169921875,3666.502,Buy
2024-12-14,3863.07568359375,3679.2358,Buy
2024-12-15,3945.637939453125,3689.9785,Buy
2024-12-16,3982.628173828125,3702.212,Buy
2024-12-17,3881.087158203125,3716.0676,Buy
2024-12-18,3615.191650390625,3726.4675,Buy
2024-12-19,3430.8623046875,3724.3533,Sell
2024-12-20,3464.21728515625,3707.692,Sell
2024-12-21,3335.28662109375,3683.6553,Sell
2024-12-22,3270.44287109375,3650.5608,Sell
2024-12-23,3421.36181640625,3610.608,Sell
2024-12-24,3497.92529296875,3573.592,Sell
2024-12-25,3489.244384765625,3542.6025,Sell
2024-12-26,3331.78076171875,3516.5115,Sell
2024-12-27,3322.151611328125,3488.921,Sell
2024-12-28,3395.845703125,3461.5564,Sell
2024-12-29,3350.970458984375,3438.307,Sell
2024-12-30,3356.09228515625,3416.9026,Sell
2024-12-31,3326.890380859375,3397.975,Sell
2025-01-01,3357.71826171875,3380.3938,Sell
2025-01-02,3450.8642578125,3365.7192,Sell
2025-01-03,3608.130126953125,3357.1218,Sell
2025-01-04,3666.33984375,3358.8188,Buy
2025-01-05,3635.52294921875,3369.3008,Buy
2025-01-06,3688.774658203125,3384.0125,Buy
2025-01-07,3374.181396484375,3403.102,Buy
2025-01-08,3324.50146484375,3412.1567,Buy
2025-01-09,3221.843017578125,3412.909,Buy
2025-01-10,3271.08056640625,3404.1138,Sell
2025-01-11,3291.632080078125,3391.293,Sell
2025-01-12,3261.718017578125,3376.9011,Sell
2025-01-13,3138.05419921875,3360.8552,Sell
2025-01-14,3228.77880859375,3339.7249,Sell
2025-01-15,3446.469482421875,3319.8176,Sell
2025-01-16,3303.306884765625,3309.6926,Sell
2025-01-17,3449.171630859375,3300.655,Sell
2025-01-18,3320.728271484375,3298.7485,Sell
2025-01-19,3212.22705078125,3296.5012,Sell
2025-01-20,3265.339599609375,3290.2866,Sell
2025-01-21,3319.5986328125,3283.9055,Sell
2025-01-22,3247.7724609375,3279.5923,Sell
2025-01-23,3340.68212890625,3273.9749,Sell
2025-01-24,3310.707275390625,3271.453,Sell
2025-01-25,3321.817138671875,3269.7693,Sell
2025-01-26,3237.964599609375,3269.241,Sell
2025-01-27,3177.7099609375,3266.279,Sell
2025-01-28,3074.5830078125,3259.673,Sell
2025-01-29,3096.537109375,3247.029,Sell
2025-01-30,3257.187255859375,3231.8574,Sell
2025-01-31,3295.411376953125,3221.6807,Sell
2025-02-01,3110.6279296875,3216.436,Sell
2025-02-02,2859.9365234375,3207.6416,Sell
2025-02-03,2868.04443359375,3187.6453,Sell
2025-02-04,2748.369140625,3161.6768,Sell
2025-02-05,2788.67919921875,3128.0352,Sell
2025-02-06,2693.086669921875,3092.3037,Sell
2025-02-07,2627.78173828125,3052.8577,Sell
2025-02-08,2640.986572265625,3010.212,Sell
2025-02-09,2631.93408203125,2967.746,Sell
2025-02-10,2652.498291015625,2926.7634,Sell
2025-02-11,2604.39306640625,2889.282,Sell
2025-02-12,2740.100830078125,2853.8882,Sell
2025-02-13,2668.819091796875,2826.6165,Sell
2025-02-14,2735.864013671875,2803.1184,Sell
