Date,Predicted,Signal
2025-07-01,108011.336,Hold
2025-07-02,108127.914,Buy
2025-07-03,108251.62,Buy
2025-07-04,108379.8,Buy
2025-07-05,108510.35,Buy
2025-07-06,108641.83,Buy
2025-07-07,108773.266,Buy
2025-07-08,108903.734,Buy
2025-07-09,109032.93,Buy
2025-07-10,109160.39,Buy
2025-07-11,109285.875,Buy
2025-07-12,109409.23,Buy
2025-07-13,109530.164,Buy
2025-07-14,109648.67,Buy
2025-07-15,109764.65,Buy
2025-07-16,109878.05,Buy
2025-07-17,109988.86,Buy
2025-07-18,110096.98,Buy
2025-07-19,110202.56,Buy
2025-07-20,110305.56,Buy
2025-07-21,110405.94,Buy
2025-07-22,110503.8,Buy
2025-07-23,110599.36,Buy
2025-07-24,110692.516,Buy
2025-07-25,110783.29,Buy
2025-07-26,110871.72,Buy
2025-07-27,110957.9,Buy
2025-07-28,111041.93,Buy
2025-07-29,111123.86,Buy
2025-07-30,111203.71,Buy
