Date,Actual,Predicted,Signal
2024-08-30,59119.4765625,66989.65,Hold
2024-08-31,58969.8984375,66951.484,Sell
2024-09-01,57325.48828125,66889.79,Sell
2024-09-02,59112.48046875,66775.984,Sell
2024-09-03,57431.0234375,66669.59,Sell
2024-09-04,57971.5390625,66531.086,Sell
2024-09-05,56160.48828125,66385.97,Sell
2024-09-06,53948.75390625,66198.555,Sell
2024-09-07,54139.6875,65937.56,Sell
2024-09-08,54841.56640625,65637.29,Sell
2024-09-09,57019.53515625,65332.06,Sell
2024-09-10,57648.7109375,65077.54,Sell
2024-09-11,57343.171875,64875.656,Sell
2024-09-12,58127.01171875,64706.895,Sell
2024-09-13,60571.30078125,64582.176,Sell
2024-09-14,60005.12109375,64544.426,Sell
2024-09-15,59182.8359375,64554.21,Buy
2024-09-16,58192.5078125,64579.383,Buy
2024-09-17,60308.5390625,64594.117,Buy
2024-09-18,61649.6796875,64649.82,Buy
2024-09-19,62940.45703125,64762.086,Buy
2024-09-20,63192.9765625,64939.37,Buy
2024-09-21,63394.83984375,65163.1,Buy
2024-09-22,63648.7109375,65419.066,Buy
2024-09-23,63329.80078125,65697.96,Buy
2024-09-24,64301.96875,65979.9,Buy
2024-09-25,63143.14453125,66280.45,Buy
2024-09-26,65181.01953125,66560.984,Buy
2024-09-27,65790.6640625,66868.79,Buy
2024-09-28,65887.6484375,67201.36,Buy
2024-09-29,65635.3046875,67545.35,Buy
2024-09-30,63329.5,67883.88,Buy
2024-10-01,60837.0078125,68158.57,Buy
2024-10-02,60632.78515625,68328.31,Buy
2024-10-03,60759.40234375,68419.0,Buy
2024-10-04,62067.4765625,68455.89,Buy
2024-10-05,62089.94921875,68483.73,Buy
2024-10-06,62818.953125,68502.68,Buy
2024-10-07,62236.66015625,68530.59,Buy
2024-10-08,62131.96875,68548.73,Buy
2024-10-09,60582.1015625,68557.43,Buy
2024-10-10,60274.5,68523.66,Sell
2024-10-11,62445.08984375,68455.38,Sell
2024-10-12,63193.0234375,68414.055,Sell
2024-10-13,62851.375,68407.2,Sell
2024-10-14,66046.125,68415.664,Buy
2024-10-15,67041.109375,68507.4,Buy
2024-10-16,67612.71875,68674.766,Buy
2024-10-17,67399.8359375,68903.13,Buy
2024-10-18,68418.7890625,69163.83,Buy
2024-10-19,68362.734375,69465.46,Buy
2024-10-20,69001.703125,69787.53,Buy
2024-10-21,67367.8515625,70132.086,Buy
2024-10-22,67361.40625,70447.016,Buy
2024-10-23,66432.1953125,70736.2,Buy
2024-10-24,68161.0546875,70980.3,Buy
2024-10-25,66642.4140625,71228.97,Buy
2024-10-26,67014.6953125,71438.26,Buy
2024-10-27,67929.296875,71625.5,Buy
2024-10-28,69907.7578125,71813.72,Buy
2024-10-29,72720.4921875,72043.04,Buy
2024-10-30,72339.5390625,72358.87,Buy
2024-10-31,70215.1875,72715.14,Buy
2024-11-01,69482.46875,73041.79,Buy
2024-11-02,69289.2734375,73325.76,Buy
2024-11-03,68741.1171875,73570.73,Buy
2024-11-04,67811.5078125,73770.59,Buy
2024-11-05,69359.5625,73913.6,Buy
