Date,Predicted,Signal
2025-07-01,295.18257912722015,Hold
2025-07-02,288.6904976769457,Sell
2025-07-03,279.03179994781993,Sell
2025-07-04,275.19955036244687,Sell
2025-07-05,273.8704146958351,Sell
2025-07-06,265.2362417270741,Sell
2025-07-07,266.2726649437304,Buy
2025-07-08,261.8579462107168,Sell
2025-07-09,267.5015451009562,Buy
2025-07-10,269.04223423664047,Buy
2025-07-11,275.31090174219077,Buy
2025-07-12,282.8548442022961,Buy
2025-07-13,281.7707137944822,Sell
2025-07-14,288.973633572903,Buy
2025-07-15,289.31571858132384,Buy
2025-07-16,298.31352261993203,Buy
2025-07-17,301.8442860946676,Buy
2025-07-18,308.8061982081357,Buy
2025-07-19,315.83956384200644,Buy
2025-07-20,313.15613793903276,Sell
2025-07-21,317.8042498024308,Buy
2025-07-22,314.783069673015,Sell
2025-07-23,319.7656551798364,Buy
2025-07-24,318.79077078554474,Sell
2025-07-25,320.9188080125579,Buy
2025-07-26,322.94880523070475,Buy
2025-07-27,315.2439294509104,Sell
2025-07-28,314.9931309895899,Sell
2025-07-29,307.32239858613883,Sell
2025-07-30,308.0153129394662,Buy
