Date,y,Actual,Predicted,Signal
2024-07-01,3433.68798828125,3433.68798828125,3352.230168090817,Hold
2024-07-02,3414.037353515625,3414.037353515625,3241.0357232471624,Sell
2024-07-03,3294.346923828125,3294.346923828125,3187.574665662873,Sell
2024-07-04,3061.70556640625,3061.70556640625,3129.620279868511,Sell
2024-07-05,2980.46240234375,2980.46240234375,3114.3377895104845,Sell
2024-07-06,3064.590576171875,3064.590576171875,3107.222850379242,Sell
2024-07-07,2929.571044921875,2929.571044921875,3079.910783582473,Sell
2024-07-08,3021.400390625,3021.400390625,3090.2405209574827,Buy
2024-07-09,3063.026123046875,3063.026123046875,3081.9043256110144,Sell
2024-07-10,3095.306884765625,3095.306884765625,3122.374016241526,Buy
2024-07-11,3099.579345703125,3099.579345703125,3147.872444727159,Buy
2024-07-12,3133.8134765625,3133.8134765625,3204.316706619262,Buy
2024-07-13,3170.848876953125,3170.848876953125,3256.2763417198576,Buy
2024-07-14,3247.48095703125,3247.48095703125,3274.7940052347244,Buy
2024-07-15,3489.4951171875,3489.4951171875,3317.4524588801355,Buy
2024-07-16,3438.818115234375,3438.818115234375,3328.019037701616,Buy
2024-07-17,3385.0986328125,3385.0986328125,3374.3586249901155,Buy
2024-07-18,3420.491943359375,3420.491943359375,3393.3843884914595,Buy
2024-07-19,3499.712158203125,3499.712158203125,3431.97344579987,Buy
2024-07-20,3523.951171875,3523.951171875,3455.8915666733537,Buy
2024-07-21,3529.177490234375,3529.177490234375,3437.5753834489997,Sell
2024-07-22,3435.4580078125,3435.4580078125,3436.157059237401,Sell
2024-07-23,3476.896728515625,3476.896728515625,3397.063749517204,Sell
2024-07-24,3334.173095703125,3334.173095703125,3389.884117324861,Sell
2024-07-25,3176.86181640625,3176.86181640625,3353.2723962924997,Sell
2024-07-26,3275.350830078125,3275.350830078125,3335.8183913053326,Sell
2024-07-27,3245.635498046875,3245.635498046875,3304.9286946295356,Sell
2024-07-28,3269.826171875,3269.826171875,3234.5686766867366,Sell
2024-07-29,3314.612548828125,3314.612548828125,3185.251178943269,Sell
2024-07-30,3278.98193359375,3278.98193359375,3103.605088777415,Sell
2024-07-31,3230.372314453125,3230.372314453125,3060.2167440428434,Sell
2024-08-01,3197.73779296875,3197.73779296875,2994.515182059432,Sell
2024-08-02,2983.013671875,2983.013671875,2955.6299575617086,Sell
2024-08-03,2895.65771484375,2895.65771484375,2911.266957847966,Sell
2024-08-04,2685.213134765625,2685.213134765625,2835.4517355865223,Sell
2024-08-05,2410.123046875,2410.123046875,2788.526064904408,Sell
2024-08-06,2453.6796875,2453.6796875,2716.7305048517137,Sell
2024-08-07,2336.325927734375,2336.325927734375,2690.065363884958,Sell
2024-08-08,2678.39013671875,2678.39013671875,2647.200382052461,Sell
