Date,Predicted,Signal
2025-07-01,90046.85266513702,Hold
2025-07-02,89708.97122283676,Sell
2025-07-03,88784.88291449704,Sell
2025-07-04,88847.33175577855,Buy
2025-07-05,88566.02335573902,Sell
2025-07-06,88011.44741929081,Sell
2025-07-07,88018.7362392471,Buy
2025-07-08,88177.99968137893,Buy
2025-07-09,88902.95453850857,Buy
2025-07-10,88994.78309651683,Buy
2025-07-11,90004.98286340537,Buy
2025-07-12,90584.12502789224,Buy
2025-07-13,90786.10336041288,Buy
2025-07-14,91432.34858868123,Buy
2025-07-15,92102.44046066649,Buy
2025-07-16,93202.9292447241,Buy
2025-07-17,93531.29769257353,Buy
2025-07-18,94638.82398879055,Buy
2025-07-19,95179.26423123082,Buy
2025-07-20,95212.93948831364,Buy
2025-07-21,95570.70804012446,Buy
2025-07-22,95844.2626586533,Buy
2025-07-23,96454.57415889928,Buy
2025-07-24,96215.42329097443,Sell
2025-07-25,96695.79378707841,Buy
2025-07-26,96568.05829578199,Sell
2025-07-27,95911.55596605707,Sell
2025-07-28,95576.0561530171,Sell
2025-07-29,95171.56173392656,Sell
2025-07-30,95136.28629742583,Sell
