Date,Actual,Predicted,Signal
2024-07-08,3021.400390625,3098.9472339283784,Hold
2024-07-09,3063.026123046875,3109.9320810072163,Buy
2024-07-10,3095.306884765625,3136.0635080634233,Buy
2024-07-11,3099.579345703125,3163.2656984747014,Buy
2024-07-12,3133.8134765625,3197.356487424819,Buy
2024-07-13,3170.848876953125,3211.2322153901587,Buy
2024-07-14,3247.48095703125,3371.912747609941,Buy
2024-07-15,3489.4951171875,3417.7601599905834,Buy
2024-07-16,3438.818115234375,3396.6826782052176,Sell
2024-07-17,3385.0986328125,3396.55096734038,Sell
2024-07-18,3420.491943359375,3449.4667054123665,Buy
2024-07-19,3499.712158203125,3482.441851035466,Buy
2024-07-20,3523.951171875,3486.0108123208565,Buy
2024-07-21,3529.177490234375,3480.4639286402144,Sell
2024-07-22,3435.4580078125,3460.7370452145447,Sell
2024-07-23,3476.896728515625,3390.433080983085,Sell
2024-07-24,3334.173095703125,3285.5161967890563,Sell
2024-07-25,3176.86181640625,3177.6602136172337,Sell
2024-07-26,3275.350830078125,3282.5371734793534,Buy
2024-07-27,3245.635498046875,3276.805081064375,Sell
2024-07-28,3269.826171875,3294.638855524942,Buy
2024-07-29,3314.612548828125,3272.88720694115,Sell
2024-07-30,3278.98193359375,3246.266666566879,Sell
2024-07-31,3230.372314453125,3216.211728122287,Sell
2024-08-01,3197.73779296875,3077.6359820120683,Sell
2024-08-02,2983.013671875,2961.0457712189213,Sell
2024-08-03,2895.65771484375,2811.4183045005193,Sell
2024-08-04,2685.213134765625,2580.680426141648,Sell
2024-08-05,2410.123046875,2469.1255860595707,Sell
2024-08-06,2453.6796875,2408.804515959241,Sell
2024-08-07,2336.325927734375,2494.6375576268756,Buy
2024-08-08,2678.39013671875,2628.711909412202,Buy
2024-08-09,2596.575439453125,2626.7853497798856,Sell
2024-08-10,2607.548095703125,2563.1379542759487,Sell
2024-08-11,2552.130126953125,2662.0328984219987,Buy
2024-08-12,2722.10888671875,2734.0384963601728,Buy
2024-08-13,2700.91943359375,2680.9956360706146,Sell
2024-08-14,2658.90966796875,2573.026209271143,Sell
2024-08-15,2571.017822265625,2597.520643251625,Buy
2024-08-16,2591.6298828125,2615.5552306266663,Buy
2024-08-17,2611.15673828125,2634.5158001689615,Buy
2024-08-18,2611.571044921875,2631.727101828924,Sell
2024-08-19,2634.4365234375,2622.0256273385367,Sell
2024-08-20,2581.898193359375,2641.5057099084456,Buy
2024-08-21,2628.18115234375,2633.76571991143,Sell
2024-08-22,2623.842529296875,2705.43516937432,Buy
2024-08-23,2761.400146484375,2749.6801915757924,Buy
2024-08-24,2767.409912109375,2718.9833744819502,Sell
2024-08-25,2748.45263671875,2685.2786152801727,Sell
2024-08-26,2680.813720703125,2536.1447660067106,Sell
2024-08-27,2457.260986328125,2490.334512017143,Sell
2024-08-28,2528.45556640625,2520.5683536661427,Buy
2024-08-29,2527.448974609375,2510.2524783935546,Sell
2024-08-30,2524.773193359375,2495.26458814639,Sell
2024-08-31,2517.292724609375,2466.0013559528575,Sell
2024-09-01,2425.538330078125,2500.0911094273156,Buy
2024-09-02,2537.25830078125,2449.1644895846543,Sell
2024-09-03,2417.7060546875,2479.3752725684753,Buy
2024-09-04,2448.682861328125,2387.407148981973,Sell
2024-09-05,2367.60009765625,2335.8637961251397,Sell
2024-09-06,2224.994873046875,2320.76691478541,Sell
2024-09-07,2268.6064453125,2329.6552069501345,Buy
2024-09-08,2293.82763671875,2317.3608963083157,Sell
2024-09-09,2357.637451171875,2373.7878810136804,Buy
2024-09-10,2386.74560546875,2371.480738240912,Sell
2024-09-11,2339.260498046875,2355.135257071535,Sell
2024-09-12,2359.5947265625,2399.244087499577,Buy
2024-09-13,2443.793212890625,2420.439546198945,Buy
2024-09-14,2410.237060546875,2367.297672461131,Sell
2024-09-15,2319.560546875,2325.4488761567623,Sell
2024-09-16,2294.479248046875,2346.1457518574766,Buy
2024-09-17,2339.29296875,2382.8717590094225,Buy
2024-09-18,2369.427978515625,2423.7458346404364,Buy
2024-09-19,2461.7314453125,2495.97732462618,Buy
2024-09-20,2554.9677734375,2618.7998620547337,Buy
2024-09-21,2611.61083984375,2596.8050767134414,Sell
2024-09-22,2579.998291015625,2620.5952941429505,Buy
2024-09-23,2646.548095703125,2630.450205006258,Buy
2024-09-24,2653.94775390625,2599.4416454448397,Sell
2024-09-25,2578.73876953125,2632.148118760851,Buy
2024-09-26,2638.31982421875,2676.306650875999,Buy
2024-09-27,2690.408203125,2667.2950257500547,Sell
