Date,Actual,Predicted,Signal
2025-06-30,,102353.7065234375,Hold
2025-07-01,,102681.70833593751,Buy
2025-07-02,,103232.57397330727,Buy
2025-07-03,,103318.06501327123,Buy
2025-07-04,,103286.03988213283,Sell
2025-07-05,,103262.89189385157,Sell
2025-07-06,,103232.62869072657,Sell
2025-07-07,,103252.14163994532,Buy
2025-07-08,,103232.59759697657,Sell
2025-07-09,,103245.65070244532,Buy
2025-07-10,,103252.14163994532,Buy
2025-07-11,,103226.10665947657,Sell
2025-07-12,,103245.65070244532,Buy
2025-07-13,,103252.14163994532,Buy
2025-07-14,,103226.10665947657,Sell
2025-07-15,,103245.65070244532,Buy
2025-07-16,,103252.14163994532,Buy
2025-07-17,,103226.10665947657,Sell
2025-07-18,,103245.65070244532,Buy
2025-07-19,,103252.14163994532,Buy
2025-07-20,,103226.10665947657,Sell
2025-07-21,,103245.65070244532,Buy
2025-07-22,,103252.14163994532,Buy
2025-07-23,,103226.10665947657,Sell
2025-07-24,,103245.65070244532,Buy
2025-07-25,,103252.14163994532,Buy
2025-07-26,,103226.10665947657,Sell
2025-07-27,,103245.65070244532,Buy
2025-07-28,,103252.14163994532,Buy
2025-07-29,,103226.10665947657,Sell
