Date,Actual,Predicted,Signal
2025-06-30,,0.60204345,Hold
2025-07-01,,0.5941346,Sell
2025-07-02,,0.6184157,Buy
2025-07-03,,0.62965786,Buy
2025-07-04,,0.6337047,Buy
2025-07-05,,0.62883574,Sell
2025-07-06,,0.62883574,Hold
2025-07-07,,0.6272181,Sell
2025-07-08,,0.6272181,Hold
2025-07-09,,0.6272181,Hold
2025-07-10,,0.6272181,Hold
2025-07-11,,0.6272181,Hold
2025-07-12,,0.6272181,Hold
2025-07-13,,0.6272181,Hold
2025-07-14,,0.6272181,Hold
2025-07-15,,0.6272181,Hold
2025-07-16,,0.6272181,Hold
2025-07-17,,0.6272181,Hold
2025-07-18,,0.6272181,Hold
2025-07-19,,0.6272181,Hold
2025-07-20,,0.6272181,Hold
2025-07-21,,0.6272181,Hold
2025-07-22,,0.6272181,Hold
2025-07-23,,0.6272181,Hold
2025-07-24,,0.6272181,Hold
2025-07-25,,0.6272181,Hold
2025-07-26,,0.6272181,Hold
2025-07-27,,0.6272181,Hold
2025-07-28,,0.6272181,Hold
2025-07-29,,0.6272181,Hold
