Date,Actual,Predicted,Signal
2024-07-08,3021.400390625,3039.5706,Hold
2024-07-09,3063.026123046875,3086.816,Buy
2024-07-10,3095.306884765625,3127.7861,Buy
2024-07-11,3099.579345703125,3143.776,Buy
2024-07-12,3133.8134765625,3162.614,Buy
2024-07-13,3170.848876953125,3202.8987,Buy
2024-07-14,3247.48095703125,3462.6665,Buy
2024-07-15,3489.4951171875,3421.333,Sell
2024-07-16,3438.818115234375,3395.904,Sell
2024-07-17,3385.0986328125,3389.0037,Sell
2024-07-18,3420.491943359375,3465.4148,Buy
2024-07-19,3499.712158203125,3507.429,Buy
2024-07-20,3523.951171875,3503.107,Sell
2024-07-21,3529.177490234375,3481.4863,Sell
2024-07-22,3435.4580078125,3459.0288,Sell
2024-07-23,3476.896728515625,3340.9321,Sell
2024-07-24,3334.173095703125,3220.3977,Sell
2024-07-25,3176.86181640625,3244.6614,Buy
2024-07-26,3275.350830078125,3277.5664,Buy
2024-07-27,3245.635498046875,3259.046,Sell
2024-07-28,3269.826171875,3288.928,Buy
2024-07-29,3314.612548828125,3265.1418,Sell
2024-07-30,3278.98193359375,3235.0674,Sell
2024-07-31,3230.372314453125,3225.6948,Sell
2024-08-01,3197.73779296875,3049.0166,Sell
2024-08-02,2983.013671875,2876.1501,Sell
2024-08-03,2895.65771484375,2749.545,Sell
2024-08-04,2685.213134765625,2466.9905,Sell
2024-08-05,2410.123046875,2445.816,Sell
2024-08-06,2453.6796875,2370.9954,Sell
2024-08-07,2336.325927734375,2602.8857,Buy
2024-08-08,2678.39013671875,2594.507,Sell
2024-08-09,2596.575439453125,2604.7805,Buy
2024-08-10,2607.548095703125,2581.947,Sell
2024-08-11,2552.130126953125,2663.1296,Buy
2024-08-12,2722.10888671875,2707.3525,Buy
2024-08-13,2700.91943359375,2658.009,Sell
2024-08-14,2658.90966796875,2582.703,Sell
2024-08-15,2571.017822265625,2598.712,Buy
2024-08-16,2591.6298828125,2598.3757,Sell
2024-08-17,2611.15673828125,2603.5781,Buy
2024-08-18,2611.571044921875,2604.5151,Buy
2024-08-19,2634.4365234375,2609.1592,Buy
2024-08-20,2581.898193359375,2619.0637,Buy
2024-08-21,2628.18115234375,2629.2712,Buy
2024-08-22,2623.842529296875,2744.9214,Buy
2024-08-23,2761.400146484375,2776.0317,Buy
2024-08-24,2767.409912109375,2728.4692,Sell
2024-08-25,2748.45263671875,2683.1033,Sell
2024-08-26,2680.813720703125,2513.2742,Sell
2024-08-27,2457.260986328125,2509.4321,Sell
2024-08-28,2528.45556640625,2520.9612,Buy
2024-08-29,2527.448974609375,2521.9502,Buy
2024-08-30,2524.773193359375,2508.7886,Sell
2024-08-31,2517.292724609375,2486.7815,Sell
2024-09-01,2425.538330078125,2470.4158,Sell
2024-09-02,2537.25830078125,2467.0596,Sell
2024-09-03,2417.7060546875,2459.5337,Sell
2024-09-04,2448.682861328125,2384.2368,Sell
