Symbol,PC1,PC2
ADA-USD,-4.0927736075125765,-0.14709431343756998
ATOM-USD,-4.0867036437952,-0.14534122920474551
AVAX-USD,-4.05900563579527,-0.13853720064041375
BCH-USD,-3.5917436159766196,-0.06651928046168443
BETH-USD,-0.5309978768491866,0.885562491765126
BNB-USD,-3.2911048291810396,-0.05088430641219818
BTC-USD,102.66441548078792,-0.11727157738055011
DAI-USD,-4.092233248314369,-0.14683800393190605
DOGE-USD,-4.093310511139741,-0.1470518575092482
DOT-USD,-4.086878920203101,-0.1453263491578921
ETC-USD,-4.066359981656208,-0.1407568565261236
ETH-USD,-0.5274998534203893,0.8873282756873643
FTN-USD,-4.089248241686517,-0.14734768517922178
GT-USD,-4.075083190564797,-0.1516279119489389
HBAR-USD,-4.093380346920218,-0.14709350176000127
ICP-USD,-4.083241498709813,-0.14373009314074364
KAS-USD,-4.093394155456198,-0.14698226555670046
LEO-USD,-4.083380292068335,-0.14728216642770797
LINK-USD,-4.0741919661473736,-0.14508547018240525
LTC-USD,-3.9814810865770225,-0.1415641762531739
NEAR-USD,-4.0880325002454265,-0.14485107377010728
ONDO-USD,-4.092319869017842,-0.14687505119347716
RUNE-USD,-4.089020067818727,-0.14469456355239213
SOL-USD,-3.875239988189493,-0.10837572881921616
STETH-USD,-0.5293487201769407,0.8880741556262334
SUN-USD,-4.0935413884403316,-0.14705424623276572
TRX-USD,-4.093299189345485,-0.14707194284323463
WETH-USD,-0.5267065461188065,0.8890789539725105
XLM-USD,-4.0932787247787745,-0.14710457850335176
XRP-USD,-4.0916159846822024,-0.14768244702547054
