Date,Actual,Predicted,sentiment_score,Model,Coin,EnhancedSignal
2025-04-19 00:00:00.000000000,85063.4140625,84450.8046875,,ARIMA,BTC-USD,Sell
2025-04-20 00:00:00.000000000,85174.3046875,84450.8046875,,ARIMA,BTC-USD,Sell
2025-04-21 00:00:00.000000000,87518.90625,84450.8046875,,ARIMA,BTC-USD,Sell
2025-04-22 00:00:00.000000000,93441.890625,84450.8046875,,ARIMA,BTC-USD,Sell
2025-04-23 00:00:00.000000000,93699.109375,84450.8046875,,ARIMA,BTC-USD,Sell
2025-04-24 00:00:00.000000000,93943.796875,84450.8046875,,ARIMA,BTC-USD,Sell
2025-04-25 00:00:00.000000000,94720.5,84450.8046875,,ARIMA,BTC-USD,Sell
2025-04-26 00:00:00.000000000,94646.9296875,84450.8046875,,ARIMA,BTC-USD,Sell
2025-04-27 00:00:00.000000000,93754.84375,84450.8046875,,ARIMA,BTC-USD,Sell
2025-04-28 00:00:00.000000000,94978.75,84450.8046875,,ARIMA,BTC-USD,Sell
2025-04-29 00:00:00.000000000,94284.7890625,84450.8046875,,ARIMA,BTC-USD,Sell
2025-04-30 00:00:00.000000000,94207.3125,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-01 00:00:00.000000000,96492.3359375,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-02 00:00:00.000000000,96910.0703125,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-03 00:00:00.000000000,95891.796875,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-04 00:00:00.000000000,94315.9765625,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-05 00:00:00.000000000,94748.0546875,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-06 00:00:00.000000000,96802.4765625,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-07 00:00:00.000000000,97032.3203125,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-08 00:00:00.000000000,103241.4609375,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-09 00:00:00.000000000,102970.8515625,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-10 00:00:00.000000000,104696.328125,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-11 00:00:00.000000000,104106.359375,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-12 00:00:00.000000000,102812.953125,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-13 00:00:00.000000000,104169.8125,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-14 00:00:00.000000000,103539.4140625,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-15 00:00:00.000000000,103744.640625,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-16 00:00:00.000000000,103489.2890625,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-17 00:00:00.000000000,103191.0859375,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-18 00:00:00.000000000,106446.0078125,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-19 00:00:00.000000000,105606.1796875,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-20 00:00:00.000000000,106791.0859375,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-21 00:00:00.000000000,109678.078125,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-22 00:00:00.000000000,111673.28125,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-23 00:00:00.000000000,107287.796875,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-24 00:00:00.000000000,107791.15625,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-25 00:00:00.000000000,109035.390625,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-26 00:00:00.000000000,109440.3671875,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-27 00:00:00.000000000,108994.640625,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-28 00:00:00.000000000,107802.328125,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-29 00:00:00.000000000,105641.7578125,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-30 00:00:00.000000000,103998.5703125,84450.8046875,,ARIMA,BTC-USD,Sell
2025-05-31 00:00:00.000000000,104638.09375,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-01 00:00:00.000000000,105652.1015625,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-02 00:00:00.000000000,105881.53125,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-03 00:00:00.000000000,105432.46875,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-04 00:00:00.000000000,104731.984375,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-05 00:00:00.000000000,101575.953125,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-06 00:00:00.000000000,104390.34375,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-07 00:00:00.000000000,105615.625,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-08 00:00:00.000000000,105793.6484375,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-09 00:00:00.000000000,110294.1015625,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-10 00:00:00.000000000,110257.234375,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-11 00:00:00.000000000,108686.625,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-12 00:00:00.000000000,105929.0546875,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-13 00:00:00.000000000,106090.96875,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-14 00:00:00.000000000,105472.40625,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-15 00:00:00.000000000,105552.0234375,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-16 00:00:00.000000000,106796.7578125,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-17 00:00:00.000000000,104601.1171875,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-18 00:00:00.000000000,104883.328125,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-19 00:00:00.000000000,104684.2890625,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-20 00:00:00.000000000,103309.6015625,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-21 00:00:00.000000000,102257.40625,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-22 00:00:00.000000000,100987.140625,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-23 00:00:00.000000000,105577.7734375,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-24 00:00:00.000000000,106045.6328125,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-25 00:00:00.000000000,107361.2578125,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-26 00:00:00.000000000,106960.0,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-27 00:00:00.000000000,107088.4296875,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-28 00:00:00.000000000,107327.703125,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-29 00:00:00.000000000,108385.5703125,84450.8046875,,ARIMA,BTC-USD,Sell
2025-06-30 00:00:00.000000000,107135.3359375,84450.8046875,,ARIMA,BTC-USD,Sell
2025-04-19 00:00:00.000000000,335.3309631347656,335.34393310546875,,ARIMA,BCH-USD,Buy
2025-04-20 00:00:00.000000000,335.9388732910156,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-04-21 00:00:00.000000000,344.80694580078125,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-04-22 00:00:00.000000000,362.78173828125,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-04-23 00:00:00.000000000,358.2170715332031,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-04-24 00:00:00.000000000,356.4633483886719,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-04-25 00:00:00.000000000,373.3293762207031,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-04-26 00:00:00.000000000,355.95916748046875,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-04-27 00:00:00.000000000,345.9830322265625,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-04-28 00:00:00.000000000,364.2192077636719,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-04-29 00:00:00.000000000,363.6363830566406,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-04-30 00:00:00.000000000,366.22747802734375,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-01 00:00:00.000000000,361.1256103515625,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-02 00:00:00.000000000,382.875244140625,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-03 00:00:00.000000000,363.1204833984375,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-04 00:00:00.000000000,356.13006591796875,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-05 00:00:00.000000000,353.4871520996094,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-06 00:00:00.000000000,373.054443359375,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-07 00:00:00.000000000,383.2935791015625,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-08 00:00:00.000000000,421.6309814453125,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-09 00:00:00.000000000,412.3817443847656,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-10 00:00:00.000000000,430.8814697265625,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-11 00:00:00.000000000,408.0454406738281,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-12 00:00:00.000000000,410.6682434082031,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-13 00:00:00.000000000,411.29534912109375,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-14 00:00:00.000000000,402.6856689453125,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-15 00:00:00.000000000,395.69183349609375,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-16 00:00:00.000000000,395.8854064941406,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-17 00:00:00.000000000,391.9806213378906,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-18 00:00:00.000000000,406.8180847167969,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-19 00:00:00.000000000,392.8945007324219,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-20 00:00:00.000000000,394.0870361328125,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-21 00:00:00.000000000,407.5686645507813,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-22 00:00:00.000000000,443.9219970703125,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-23 00:00:00.000000000,425.5870971679687,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-24 00:00:00.000000000,421.8962097167969,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-25 00:00:00.000000000,422.8595275878906,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-26 00:00:00.000000000,415.6390075683594,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-27 00:00:00.000000000,414.824462890625,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-28 00:00:00.000000000,419.5234069824219,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-29 00:00:00.000000000,409.2194213867187,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-30 00:00:00.000000000,399.1341552734375,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-05-31 00:00:00.000000000,414.50787353515625,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-06-01 00:00:00.000000000,403.7017517089844,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-06-02 00:00:00.000000000,403.91656494140625,335.34393310546875,,ARIMA,BCH-USD,Sell
2025-06-03 00:00:00.000000000,400.9271240234375,335.34393310546875,,ARIMA,BCH-USD,Sell
