Date,Actual,Forecast,Signal
2024-07-02,62029.015625,62933.4530648941,Hold
2024-07-03,60173.921875,63089.18017224072,Buy
2024-07-04,56977.703125,63238.82301846361,Buy
2024-07-05,56662.375,63492.06021956341,Buy
2024-07-06,58303.5390625,63543.80543408,Buy
2024-07-07,55849.109375,63863.22113225885,Buy
2024-07-08,56705.09765625,64325.35269775834,Buy
2024-07-09,58009.2265625,63988.609872926194,Sell
2024-07-10,57742.49609375,64620.897064819765,Buy
2024-07-11,57344.9140625,64724.7316819406,Buy
2024-07-12,57899.46484375,64618.347029414814,Sell
2024-07-13,59231.953125,65015.96312618156,Buy
2024-07-14,60787.79296875,64993.51357693893,Sell
2024-07-15,64870.15234375,65034.51837973273,Buy
2024-07-16,65097.1484375,64998.71537834221,Sell
2024-07-17,64118.79296875,65164.19881877779,Buy
2024-07-18,63974.06640625,64876.176580213294,Sell
2024-07-19,66710.15625,64916.60480481606,Buy
2024-07-20,67163.6484375,64860.27257524899,Sell
2024-07-21,68154.5234375,64930.24792334741,Buy
2024-07-22,67585.25,64684.588646120625,Sell
2024-07-23,65927.671875,64814.41738241736,Buy
2024-07-24,65372.1328125,64766.47849325853,Sell
2024-07-25,65777.2265625,64685.92004177082,Sell
2024-07-26,67912.0625,64876.6413490502,Buy
2024-07-27,67813.3359375,64773.78366344424,Sell
2024-07-28,68255.8671875,64952.002180732554,Buy
2024-07-29,66819.9140625,64809.37983681021,Sell
2024-07-30,66201.015625,64990.12143876827,Buy
2024-07-31,64619.25,64952.10028843946,Sell
2024-08-01,65357.5,65149.58919965222,Buy
2024-08-02,61415.06640625,65138.047816810504,Sell
2024-08-03,60680.09375,65658.04564221503,Buy
2024-08-04,58116.9765625,65405.001479873055,Sell
2024-08-05,53991.45703125,66128.58394039952,Buy
2024-08-06,56034.31640625,66419.9218614989,Buy
2024-08-07,55027.4609375,66249.6929846468,Sell
2024-08-08,61710.13671875,67503.40979161984,Buy
2024-08-09,60880.11328125,66632.63637153328,Sell
2024-08-10,60945.8125,67808.7379366746,Buy
2024-08-11,58719.484375,67297.63072450363,Sell
2024-08-12,59354.515625,67540.16074801388,Buy
2024-08-13,60609.56640625,67811.2816222686,Buy
2024-08-14,58737.26953125,67774.41274826649,Sell
2024-08-15,57560.09765625,68198.63841671395,Buy
2024-08-16,58894.10546875,68106.12466840414,Sell
2024-08-17,59478.97265625,68269.64729673485,Buy
2024-08-18,58483.96484375,68675.41016669665,Buy
2024-08-19,59493.453125,68609.32825344811,Sell
2024-08-20,59012.79296875,68659.76317870848,Buy
2024-08-21,61175.19140625,69113.98575734075,Buy
2024-08-22,60381.9140625,68746.17662758034,Sell
2024-08-23,64094.35546875,69293.54888106068,Buy
2024-08-24,64178.9921875,68830.06352399582,Sell
2024-08-25,64333.54296875,69271.68072697464,Buy
2024-08-26,62880.66015625,69015.07453926082,Sell
2024-08-27,59504.1328125,69076.26754407067,Buy
2024-08-28,59027.625,69383.4689091896,Buy
2024-08-29,59388.1796875,69154.02226091345,Sell
2024-08-30,59119.4765625,69642.42499554846,Buy
2024-08-31,58969.8984375,69788.89475930578,Buy
2024-09-01,57325.48828125,69768.87691288874,Sell
2024-09-02,59112.48046875,70267.02215575961,Buy
2024-09-03,57431.0234375,70034.06769073971,Sell
2024-09-04,57971.5390625,70707.44307276922,Buy
2024-09-05,56160.48828125,70451.41506092009,Sell
2024-09-06,53948.75390625,70978.26618673472,Buy
2024-09-07,54139.6875,71179.04323396068,Buy
2024-09-08,54841.56640625,71187.84134062691,Buy
2024-09-09,57019.53515625,71800.60870418155,Buy
2024-09-10,57648.7109375,71706.39380778967,Sell
2024-09-11,57343.171875,72012.07411791093,Buy
2024-09-12,58127.01171875,72132.63050545489,Buy
2024-09-13,60571.30078125,72030.4321132957,Sell
2024-09-14,60005.12109375,72213.57935932108,Buy
2024-09-15,59182.8359375,72411.28062325214,Buy
2024-09-16,58192.5078125,72157.99222647437,Sell
2024-09-17,60308.5390625,72474.54303296877,Buy
2024-09-18,61649.6796875,72334.5638626959,Sell
2024-09-19,62940.45703125,72542.94537040647,Buy
2024-09-20,63192.9765625,72459.9159964059,Sell
2024-09-21,63394.83984375,72440.5605184914,Sell
2024-09-22,63648.7109375,72444.50668883091,Buy
2024-09-23,63329.80078125,72402.74157157353,Sell
2024-09-24,64301.96875,72461.54448709522,Buy
2024-09-25,63143.14453125,72360.19502396893,Sell
2024-09-26,65181.01953125,72602.44784867532,Buy
2024-09-27,65790.6640625,72266.69413465916,Sell
2024-09-28,65887.6484375,72619.91625447436,Buy
2024-09-29,65635.3046875,72457.94071837969,Sell
2024-09-30,63329.5,72410.74891726073,Sell
2024-10-01,60837.0078125,72738.18850595254,Buy
2024-10-02,60632.78515625,72638.53483993896,Sell
2024-10-03,60759.40234375,72818.67618808783,Buy
2024-10-04,62067.4765625,73214.85161852908,Buy
2024-10-05,62089.94921875,73114.49314697017,Sell
2024-10-06,62818.953125,73484.60875642793,Buy
2024-10-07,62236.66015625,73453.33194384292,Sell
2024-10-08,62131.96875,73652.90373774573,Buy
2024-10-09,60582.1015625,73735.47717731362,Buy
2024-10-10,60274.5,73970.90934581975,Buy
2024-10-11,62445.08984375,74009.44119545397,Buy
2024-10-12,63193.0234375,74140.34058267016,Buy
2024-10-13,62851.375,74457.97360433768,Buy
2024-10-14,66046.125,74347.28962910014,Sell
2024-10-15,67041.109375,74242.18722062536,Sell
2024-10-16,67612.71875,74665.79321128382,Buy
2024-10-17,67399.8359375,74237.28677841081,Sell
2024-10-18,68418.7890625,74384.17724972047,Buy
2024-10-19,68362.734375,74361.36189510037,Sell
2024-10-20,69001.703125,74313.26249665701,Sell
2024-10-21,67367.8515625,74289.95385086734,Sell
2024-10-22,67361.40625,74470.05283251482,Buy
2024-10-23,66432.1953125,74258.75247078003,Sell
2024-10-24,68161.0546875,74603.96842755248,Buy
2024-10-25,66642.4140625,74427.3972624266,Sell
2024-10-26,67014.6953125,74815.2487236767,Buy
2024-10-27,67929.296875,74607.93967597802,Sell
2024-10-28,69907.7578125,74823.30504415845,Buy
2024-10-29,72720.4921875,74875.96107066628,Buy
2024-10-30,72339.5390625,74729.20682876134,Sell
2024-10-31,70215.1875,74965.40853574655,Buy
2024-11-01,69482.46875,74790.97404055558,Sell
2024-11-02,69289.2734375,74785.03060704844,Sell
2024-11-03,68741.1171875,75065.89696606391,Buy
2024-11-04,67811.5078125,75047.70782947133,Sell
2024-11-05,69359.5625,75214.08912604529,Buy
2024-11-06,75639.078125,75253.53640366989,Buy
2024-11-07,75904.859375,75132.83878106801,Sell
2024-11-08,76545.4765625,75577.65327408348,Buy
2024-11-09,76778.8671875,74911.49490511906,Sell
2024-11-10,80474.1875,75148.82852419278,Buy
2024-11-11,88701.484375,74932.34127477669,Sell
2024-11-12,87955.8125,74487.8031709087,Sell
2024-11-13,90584.1640625,74897.99916530824,Buy
2024-11-14,87250.4296875,73779.20612329216,Sell
2024-11-15,91066.0078125,74283.40882566737,Buy
2024-11-16,90558.4765625,73539.13819792528,Sell
2024-11-17,89845.8515625,73743.27970031223,Buy
2024-11-18,90542.640625,73524.24010872153,Sell
2024-11-19,92343.7890625,73217.98119577728,Sell
2024-11-20,94339.4921875,73364.5556383722,Buy
2024-11-21,98504.7265625,73114.563224732,Sell
2024-11-22,98997.6640625,72858.19626385956,Sell
2024-11-23,97777.28125,73004.59047218942,Buy
2024-11-24,98013.8203125,72598.53900276034,Sell
2024-11-25,93102.296875,72511.31922588391,Sell
2024-11-26,91985.3203125,72850.0165540031,Buy
2024-11-27,95962.53125,72357.24255284325,Sell
2024-11-28,95652.46875,72629.05755259116,Buy
2024-11-29,97461.5234375,72961.12287541592,Buy
2024-11-30,96449.0546875,72368.34486999773,Sell
2024-12-01,97279.7890625,72931.35075210447,Buy
2024-12-02,95865.3046875,72656.90714566509,Sell
2024-12-03,96002.1640625,72764.24356321072,Buy
2024-12-04,98768.53125,72878.78410080893,Buy
2024-12-05,96593.5703125,72751.78524656441,Sell
2024-12-06,99920.7109375,73141.85782035459,Buy
2024-12-07,99923.3359375,72683.2435994,Sell
2024-12-08,101236.015625,73170.60304519132,Buy
2024-12-09,97432.71875,72915.33600226569,Sell
2024-12-10,96675.4296875,73131.6692387881,Buy
