Date,Predicted,Signal
2025-07-01,0.562543,Hold
2025-07-02,0.5623292,Sell
2025-07-03,0.562379,Buy
2025-07-04,0.5626266,Buy
2025-07-05,0.5630304,Buy
2025-07-06,0.5635633,Buy
2025-07-07,0.5642049,Buy
2025-07-08,0.56494176,Buy
2025-07-09,0.5657598,Buy
2025-07-10,0.56664866,Buy
2025-07-11,0.567597,Buy
2025-07-12,0.56859595,Buy
2025-07-13,0.56963706,Buy
2025-07-14,0.5707115,Buy
2025-07-15,0.57181156,Buy
2025-07-16,0.572931,Buy
2025-07-17,0.5740632,Buy
2025-07-18,0.57520294,Buy
2025-07-19,0.5763446,Buy
2025-07-20,0.5774839,Buy
2025-07-21,0.57861704,Buy
2025-07-22,0.57974064,Buy
2025-07-23,0.58085024,Buy
2025-07-24,0.5819439,Buy
2025-07-25,0.5830196,Buy
2025-07-26,0.5840753,Buy
2025-07-27,0.5851092,Buy
2025-07-28,0.58611995,Buy
2025-07-29,0.58710617,Buy
2025-07-30,0.58806705,Buy
