Date,Predicted,Signal
2025-07-01,483.6555,Hold
2025-07-02,486.29074,Buy
2025-07-03,488.57153,Buy
2025-07-04,490.56754,Buy
2025-07-05,492.33884,Buy
2025-07-06,493.93607,Buy
2025-07-07,495.40005,Buy
2025-07-08,496.76166,Buy
2025-07-09,498.0454,Buy
2025-07-10,499.2678,Buy
2025-07-11,500.44183,Buy
2025-07-12,501.57578,Buy
2025-07-13,502.67575,Buy
2025-07-14,503.74603,Buy
2025-07-15,504.78958,Buy
2025-07-16,505.80823,Buy
2025-07-17,506.80362,Buy
2025-07-18,507.77634,Buy
2025-07-19,508.72787,Buy
2025-07-20,509.65845,Buy
2025-07-21,510.5684,Buy
2025-07-22,511.45782,Buy
2025-07-23,512.3282,Buy
2025-07-24,513.1796,Buy
2025-07-25,514.01227,Buy
2025-07-26,514.82654,Buy
2025-07-27,515.6228,Buy
2025-07-28,516.40125,Buy
2025-07-29,517.1624,Buy
2025-07-30,517.9067,Buy
