Date,Predicted,Signal
2025-07-01,2492.9053,Hold
2025-07-02,2494.1375,Buy
2025-07-03,2496.924,Buy
2025-07-04,2500.7961,Buy
2025-07-05,2505.403,Buy
2025-07-06,2510.4907,Buy
2025-07-07,2515.8772,Buy
2025-07-08,2521.4343,Buy
2025-07-09,2527.0767,Buy
2025-07-10,2532.7454,Buy
2025-07-11,2538.4033,Buy
2025-07-12,2544.0264,Buy
2025-07-13,2549.5994,Buy
2025-07-14,2555.1133,Buy
2025-07-15,2560.5637,Buy
2025-07-16,2565.9482,Buy
2025-07-17,2571.2646,Buy
2025-07-18,2576.5142,Buy
2025-07-19,2581.6963,Buy
2025-07-20,2586.8113,Buy
2025-07-21,2591.8604,Buy
2025-07-22,2596.8435,Buy
2025-07-23,2601.7615,Buy
2025-07-24,2606.6157,Buy
2025-07-25,2611.406,Buy
2025-07-26,2616.1338,Buy
2025-07-27,2620.7986,Buy
2025-07-28,2625.4023,Buy
2025-07-29,2629.9443,Buy
2025-07-30,2634.4272,Buy
