Date,Predicted,Signal
2025-07-01,106458.92,Hold
2025-07-02,106585.445,Buy
2025-07-03,106688.49,Buy
2025-07-04,106773.64,Buy
2025-07-05,106845.5,Buy
2025-07-06,106907.53,Buy
2025-07-07,106962.2,Buy
2025-07-08,107011.37,Buy
2025-07-09,107056.305,Buy
2025-07-10,107097.93,Buy
2025-07-11,107136.91,Buy
2025-07-12,107173.664,Buy
2025-07-13,107208.57,Buy
2025-07-14,107241.84,Buy
2025-07-15,107273.65,Buy
2025-07-16,107304.13,Buy
2025-07-17,107333.39,Buy
2025-07-18,107361.484,Buy
2025-07-19,107388.5,Buy
2025-07-20,107414.47,Buy
2025-07-21,107439.46,Buy
2025-07-22,107463.516,Buy
2025-07-23,107486.65,Buy
2025-07-24,107508.93,Buy
2025-07-25,107530.38,Buy
2025-07-26,107551.016,Buy
2025-07-27,107570.89,Buy
2025-07-28,107590.03,Buy
2025-07-29,107608.44,Buy
2025-07-30,107626.17,Buy
