Date,Actual,Predicted,Signal
2024-08-30,59119.4765625,67500.22,Hold
2024-08-31,58969.8984375,67439.305,Sell
2024-09-01,57325.48828125,67330.875,Sell
2024-09-02,59112.48046875,67138.734,Sell
2024-09-03,57431.0234375,66953.016,Sell
2024-09-04,57971.5390625,66724.375,Sell
2024-09-05,56160.48828125,66490.98,Sell
2024-09-06,53948.75390625,66202.98,Sell
2024-09-07,54139.6875,65812.27,Sell
2024-09-08,54841.56640625,65367.98,Sell
2024-09-09,57019.53515625,64925.332,Sell
2024-09-10,57648.7109375,64572.906,Sell
2024-09-11,57343.171875,64319.42,Sell
2024-09-12,58127.01171875,64135.375,Sell
2024-09-13,60571.30078125,64032.65,Sell
2024-09-14,60005.12109375,64072.312,Buy
2024-09-15,59182.8359375,64193.438,Buy
2024-09-16,58192.5078125,64339.574,Buy
2024-09-17,60308.5390625,64463.79,Buy
2024-09-18,61649.6796875,64636.91,Buy
2024-09-19,62940.45703125,64883.742,Buy
2024-09-20,63192.9765625,65217.45,Buy
2024-09-21,63394.83984375,65609.695,Buy
2024-09-22,63648.7109375,66035.83,Buy
2024-09-23,63329.80078125,66478.72,Buy
2024-09-24,64301.96875,66906.766,Buy
2024-09-25,63143.14453125,67340.54,Buy
2024-09-26,65181.01953125,67725.055,Buy
2024-09-27,65790.6640625,68127.41,Buy
2024-09-28,65887.6484375,68549.695,Buy
2024-09-29,65635.3046875,68974.98,Buy
2024-09-30,63329.5,69379.09,Buy
2024-10-01,60837.0078125,69677.72,Buy
2024-10-02,60632.78515625,69807.07,Buy
2024-10-03,60759.40234375,69803.57,Sell
2024-10-04,62067.4765625,69710.82,Sell
2024-10-05,62089.94921875,69602.61,Sell
2024-10-06,62818.953125,69490.19,Sell
2024-10-07,62236.66015625,69403.914,Sell
2024-10-08,62131.96875,69321.21,Sell
2024-10-09,60582.1015625,69240.49,Sell
2024-10-10,60274.5,69112.9,Sell
2024-10-11,62445.08984375,68945.44,Sell
2024-10-12,63193.0234375,68827.28,Sell
2024-10-13,62851.375,68774.74,Sell
2024-10-14,66046.125,68760.05,Sell
2024-10-15,67041.109375,68877.85,Buy
2024-10-16,67612.71875,69120.13,Buy
2024-10-17,67399.8359375,69461.2,Buy
2024-10-18,68418.7890625,69852.75,Buy
2024-10-19,68362.734375,70298.42,Buy
2024-10-20,69001.703125,70764.55,Buy
2024-10-21,67367.8515625,71248.68,Buy
2024-10-22,67361.40625,71674.69,Buy
2024-10-23,66432.1953125,72042.36,Buy
2024-10-24,68161.0546875,72324.98,Buy
2024-10-25,66642.4140625,72593.26,Buy
2024-10-26,67014.6953125,72794.08,Buy
2024-10-27,67929.296875,72951.55,Buy
2024-10-28,69907.7578125,73103.36,Buy
2024-10-29,72720.4921875,73311.72,Buy
2024-10-30,72339.5390625,73646.43,Buy
2024-10-31,70215.1875,74049.01,Buy
2024-11-01,69482.46875,74415.91,Buy
2024-11-02,69289.2734375,74718.21,Buy
2024-11-03,68741.1171875,74956.58,Buy
2024-11-04,67811.5078125,75123.234,Buy
2024-11-05,69359.5625,75202.875,Buy
2024-11-06,75639.078125,75268.06,Buy
2024-11-07,75904.859375,75525.89,Buy
2024-11-08,76545.4765625,75925.625,Buy
2024-11-09,76778.8671875,76432.66,Buy
2024-11-10,80474.1875,77004.63,Buy
2024-11-11,88701.484375,77718.945,Buy
2024-11-12,87955.8125,78769.875,Buy
2024-11-13,90584.1640625,80002.75,Buy
2024-11-14,87250.4296875,81397.01,Buy
2024-11-15,91066.0078125,82750.36,Buy
2024-11-16,90558.4765625,84135.05,Buy
2024-11-17,89845.8515625,85476.445,Buy
2024-11-18,90542.640625,86714.92,Buy
2024-11-19,92343.7890625,87854.46,Buy
2024-11-20,94339.4921875,88936.19,Buy
2024-11-21,98504.7265625,89998.125,Buy
2024-11-22,98997.6640625,91129.96,Buy
2024-11-23,97777.28125,92286.99,Buy
2024-11-24,98013.8203125,93384.59,Buy
2024-11-25,93102.296875,94404.5,Buy
2024-11-26,91985.3203125,95194.34,Buy
2024-11-27,95962.53125,95757.92,Buy
2024-11-28,95652.46875,96252.805,Buy
2024-11-29,97461.5234375,96678.836,Buy
2024-11-30,96449.0546875,97094.02,Buy
2024-12-01,97279.7890625,97461.65,Buy
2024-12-02,95865.3046875,97806.04,Buy
2024-12-03,96002.1640625,98084.0,Buy
2024-12-04,98768.53125,98308.586,Buy
2024-12-05,96593.5703125,98564.01,Buy
2024-12-06,99920.7109375,98775.74,Buy
2024-12-07,99923.3359375,99039.086,Buy
2024-12-08,101236.015625,99331.84,Buy
2024-12-09,97432.71875,99670.94,Buy
2024-12-10,96675.4296875,99928.44,Buy
2024-12-11,101173.03125,100095.195,Buy
2024-12-12,100043.0,100311.664,Buy
