Date,y,Actual,Predicted,Signal
2024-07-01,62851.98046875,62851.98046875,59771.1370026061,Hold
2024-07-02,62029.015625,62029.015625,59034.614147266075,Sell
2024-07-03,60173.921875,60173.921875,58896.218883382455,Sell
2024-07-04,56977.703125,56977.703125,58175.41979102642,Sell
2024-07-05,56662.375,56662.375,58440.37883359223,Buy
2024-07-06,58303.5390625,58303.5390625,58356.333800077504,Sell
2024-07-07,55849.109375,55849.109375,57989.52718531502,Sell
2024-07-08,56705.09765625,56705.09765625,58171.164103235686,Buy
2024-07-09,58009.2265625,58009.2265625,58487.83725566035,Buy
2024-07-10,57742.49609375,57742.49609375,59350.23462271769,Buy
2024-07-11,57344.9140625,57344.9140625,59557.06282413711,Buy
2024-07-12,57899.46484375,57899.46484375,60657.94665489153,Buy
2024-07-13,59231.953125,59231.953125,61302.22115044304,Buy
2024-07-14,60787.79296875,60787.79296875,61543.197356605524,Buy
2024-07-15,64870.15234375,64870.15234375,62202.37657386888,Buy
2024-07-16,65097.1484375,65097.1484375,62860.045550380724,Buy
2024-07-17,64118.79296875,64118.79296875,63924.065064801434,Buy
2024-07-18,63974.06640625,63974.06640625,64193.784035116056,Buy
2024-07-19,66710.15625,66710.15625,65222.841171969805,Buy
2024-07-20,67163.6484375,67163.6484375,65667.77455599135,Buy
2024-07-21,68154.5234375,68154.5234375,65592.02630428606,Sell
2024-07-22,67585.25,67585.25,65829.8252926636,Buy
2024-07-23,65927.671875,65927.671875,65976.39027213119,Buy
2024-07-24,65372.1328125,65372.1328125,66456.27723194708,Buy
2024-07-25,65777.2265625,65777.2265625,66086.81568156669,Sell
2024-07-26,67912.0625,67912.0625,66440.40922778996,Buy
2024-07-27,67813.3359375,67813.3359375,66192.63461605411,Sell
2024-07-28,68255.8671875,68255.8671875,65425.74024596659,Sell
2024-07-29,66819.9140625,66819.9140625,64992.040632381744,Sell
2024-07-30,66201.015625,66201.015625,64503.66199989338,Sell
2024-07-31,64619.25,64619.25,64400.47462885519,Sell
2024-08-01,65357.5,65357.5,63513.16708422683,Sell
2024-08-02,61415.06640625,61415.06640625,63425.24652947422,Sell
2024-08-03,60680.09375,60680.09375,62820.90628742031,Sell
2024-08-04,58116.9765625,58116.9765625,61788.3666434173,Sell
2024-08-05,53991.45703125,53991.45703125,61183.188229644766,Sell
2024-08-06,56034.31640625,56034.31640625,60618.01387690492,Sell
2024-08-07,55027.4609375,55027.4609375,60530.57309276092,Sell
2024-08-08,61710.13671875,61710.13671875,59746.900744813574,Sell
2024-08-09,60880.11328125,60880.11328125,59843.54865710498,Buy
2024-08-10,60945.8125,60945.8125,59495.7239676013,Sell
2024-08-11,58719.484375,58719.484375,58780.951431141075,Sell
2024-08-12,59354.515625,59354.515625,58542.74887764042,Sell
2024-08-13,60609.56640625,60609.56640625,58380.76062227614,Sell
2024-08-14,58737.26953125,58737.26953125,58719.17124502733,Buy
2024-08-15,57560.09765625,57560.09765625,58370.339271728946,Sell
2024-08-16,58894.10546875,58894.10546875,58897.41744099179,Buy
2024-08-17,59478.97265625,59478.97265625,58962.88180093583,Buy
2024-08-18,58483.96484375,58483.96484375,58632.55585748066,Sell
2024-08-19,59493.453125,59493.453125,58739.60909759268,Buy
2024-08-20,59012.79296875,59012.79296875,58874.966018059225,Buy
2024-08-21,61175.19140625,61175.19140625,59455.94095070054,Buy
2024-08-22,60381.9140625,60381.9140625,59290.03276802117,Sell
2024-08-23,64094.35546875,64094.35546875,59937.64253150336,Buy
2024-08-24,64178.9921875,64178.9921875,60060.634605887404,Buy
2024-08-25,64333.54296875,64333.54296875,59726.32768036283,Sell
2024-08-26,62880.66015625,62880.66015625,59771.3971043053,Buy
2024-08-27,59504.1328125,59504.1328125,59792.128598815645,Buy
2024-08-28,59027.625,59027.625,60212.84423297361,Buy
2024-08-29,59388.1796875,59388.1796875,59849.44178446327,Sell
2024-08-30,59119.4765625,59119.4765625,60271.818928964974,Buy
2024-08-31,58969.8984375,58969.8984375,60152.112105776876,Sell
2024-09-01,57325.48828125,57325.48828125,59568.346570408685,Sell
2024-09-02,59112.48046875,59112.48046875,59367.98952538009,Sell
2024-09-03,57431.0234375,57431.0234375,59157.85698466297,Sell
2024-09-04,57971.5390625,57971.5390625,59372.205625310955,Buy
2024-09-05,56160.48828125,56160.48828125,58835.96066829817,Sell
2024-09-06,53948.75390625,53948.75390625,59126.86027956837,Buy
2024-09-07,54139.6875,54139.6875,58923.45440670236,Sell
2024-09-08,54841.56640625,54841.56640625,58308.56132732558,Sell
2024-09-09,57019.53515625,57019.53515625,58132.67911933566,Sell
2024-09-10,57648.7109375,57648.7109375,58003.80642967255,Sell
2024-09-11,57343.171875,57343.171875,58355.50582898597,Buy
2024-09-12,58127.01171875,58127.01171875,58010.161098311204,Sell
2024-09-13,60571.30078125,60571.30078125,58541.20752437542,Buy
2024-09-14,60005.12109375,60005.12109375,58621.27003843433,Buy
2024-09-15,59182.8359375,59182.8359375,58325.807852043705,Sell
2024-09-16,58192.5078125,58192.5078125,58496.75675927271,Buy
2024-09-17,60308.5390625,60308.5390625,58732.61624947735,Buy
2024-09-18,61649.6796875,61649.6796875,59456.80648847466,Buy
2024-09-19,62940.45703125,62940.45703125,59481.23755632415,Buy
2024-09-20,63192.9765625,63192.9765625,60368.86059733121,Buy
2024-09-21,63394.83984375,63394.83984375,60782.126116083615,Buy
2024-09-22,63648.7109375,63648.7109375,60786.938570557824,Buy
2024-09-23,63329.80078125,63329.80078125,61216.58932286194,Buy
2024-09-24,64301.96875,64301.96875,61662.10661019097,Buy
2024-09-25,63143.14453125,63143.14453125,62540.84003094658,Buy
2024-09-26,65181.01953125,65181.01953125,62660.21542541933,Buy
2024-09-27,65790.6640625,65790.6640625,63580.42464134384,Buy
2024-09-28,65887.6484375,65887.6484375,63962.97163208576,Buy
2024-09-29,65635.3046875,65635.3046875,63874.661791266,Sell
2024-09-30,63329.5,63329.5,64151.51590683796,Buy
2024-10-01,60837.0078125,60837.0078125,64389.04830021543,Buy
2024-10-02,60632.78515625,60632.78515625,65010.72906644121,Buy
2024-10-03,60759.40234375,60759.40234375,64831.5702234386,Sell
2024-10-04,62067.4765625,62067.4765625,65420.60537197965,Buy
2024-10-05,62089.94921875,62089.94921875,65449.19082438294,Buy
2024-10-06,62818.953125,62818.953125,64994.72229138184,Sell
2024-10-07,62236.66015625,62236.66015625,64904.2566307849,Sell
2024-10-08,62131.96875,62131.96875,64784.48675474697,Sell
2024-10-09,60582.1015625,60582.1015625,65069.89839053902,Buy
2024-10-10,60274.5,60274.5,64586.057243176045,Sell
2024-10-11,62445.08984375,62445.08984375,64911.804699614906,Buy
2024-10-12,63193.0234375,63193.0234375,64727.29784251081,Sell
2024-10-13,62851.375,62851.375,64117.49519896414,Sell
2024-10-14,66046.125,66046.125,63935.583869854956,Sell
2024-10-15,67041.109375,67041.109375,63792.80128109936,Sell
2024-10-16,67612.71875,67612.71875,64126.48407882889,Buy
2024-10-17,67399.8359375,67399.8359375,63763.295196139654,Sell
2024-10-18,68418.7890625,68418.7890625,64281.408288445535,Buy
2024-10-19,68362.734375,68362.734375,64358.584932091006,Buy
2024-10-20,69001.703125,69001.703125,64075.74421875055,Sell
2024-10-21,67367.8515625,67367.8515625,64280.517299171515,Buy
2024-10-22,67361.40625,67361.40625,64577.23577625163,Buy
2024-10-23,66432.1953125,66432.1953125,65395.18101969188,Buy
2024-10-24,68161.0546875,68161.0546875,65552.03914975798,Buy
2024-10-25,66642.4140625,66642.4140625,66616.33383709955,Buy
2024-10-26,67014.6953125,67014.6953125,67255.7648037363,Buy
2024-10-27,67929.296875,67929.296875,67541.0438878917,Buy
2024-10-28,69907.7578125,69907.7578125,68309.7134401843,Buy
2024-10-29,72720.4921875,72720.4921875,69156.38835088557,Buy
2024-10-30,72339.5390625,72339.5390625,70501.24168411909,Buy
2024-10-31,70215.1875,70215.1875,71153.67212673216,Buy
2024-11-01,69482.46875,69482.46875,72674.91974451723,Buy
2024-11-02,69289.2734375,69289.2734375,73726.55327003927,Buy
2024-11-03,68741.1171875,68741.1171875,74374.41720239632,Buy
2024-11-04,67811.5078125,67811.5078125,75452.52114250234,Buy
2024-11-05,69359.5625,69359.5625,76553.31156774334,Buy
2024-11-06,75639.078125,75639.078125,78096.14620298767,Buy
2024-11-07,75904.859375,75904.859375,78890.9106250595,Buy
2024-11-08,76545.4765625,76545.4765625,80500.54622289994,Buy
2024-11-09,76778.8671875,76778.8671875,81589.41642494737,Buy
2024-11-10,80474.1875,80474.1875,82227.104164163,Buy
2024-11-11,88701.484375,88701.484375,83252.1284579018,Buy
2024-11-12,87955.8125,87955.8125,84262.02639891245,Buy
2024-11-13,90584.1640625,90584.1640625,85681.62722000317,Buy
2024-11-14,87250.4296875,87250.4296875,86326.46478844591,Buy
2024-11-15,91066.0078125,91066.0078125,87765.10436902127,Buy
2024-11-16,90558.4765625,90558.4765625,88667.31707116457,Buy
2024-11-17,89845.8515625,89845.8515625,89107.70103696833,Buy
2024-11-18,90542.640625,90542.640625,89929.2427292805,Buy
2024-11-19,92343.7890625,92343.7890625,90733.26936696764,Buy
2024-11-20,94339.4921875,94339.4921875,91947.62290372059,Buy
2024-11-21,98504.7265625,98504.7265625,92390.00476812111,Buy
2024-11-22,98997.6640625,98997.6640625,93630.26885459734,Buy
2024-11-23,97777.28125,97777.28125,94338.59673561966,Buy
2024-11-24,98013.8203125,98013.8203125,94589.15355198956,Buy
2024-11-25,93102.296875,93102.296875,95223.71623073355,Buy
2024-11-26,91985.3203125,91985.3203125,95841.7222703043,Buy
2024-11-27,95962.53125,95962.53125,96868.56583700667,Buy
2024-11-28,95652.46875,95652.46875,97119.08578024058,Buy
2024-11-29,97461.5234375,97461.5234375,98160.01783356117,Buy
2024-11-30,96449.0546875,96449.0546875,98658.33926988239,Buy
2024-12-01,97279.7890625,97279.7890625,98685.09840895148,Buy
2024-12-02,95865.3046875,95865.3046875,99079.21447123992,Buy
2024-12-03,96002.1640625,96002.1640625,99437.68994223572,Buy
2024-12-04,98768.53125,98768.53125,100184.05639762367,Buy
2024-12-05,96593.5703125,96593.5703125,100131.99304884495,Sell
2024-12-06,99920.7109375,99920.7109375,100847.88561490015,Buy
2024-12-07,99923.3359375,99923.3359375,100999.2498478065,Buy
2024-12-08,101236.015625,101236.015625,100658.60912606242,Sell
2024-12-09,97432.71875,97432.71875,100667.30962551493,Buy
2024-12-10,96675.4296875,96675.4296875,100625.7143048146,Sell
2024-12-11,101173.03125,101173.03125,100961.5968411197,Buy
2024-12-12,100043.0,100043.0,100493.67605076227,Sell
2024-12-13,101459.2578125,101459.2578125,100794.06073128553,Buy
2024-12-14,101372.96875,101372.96875,100536.53256357253,Sell
2024-12-15,104298.6953125,104298.6953125,99800.26068182458,Sell
2024-12-16,106029.71875,106029.71875,99433.43634595523,Sell
2024-12-17,106140.6015625,106140.6015625,99043.27449665286,Sell
2024-12-18,100041.5390625,100041.5390625,99064.20924841953,Buy
2024-12-19,97490.953125,97490.953125,98321.23004785951,Sell
2024-12-20,97755.9296875,97755.9296875,98392.13463345786,Buy
2024-12-21,97224.7265625,97224.7265625,97955.6324881244,Sell
2024-12-22,95104.9375,95104.9375,97094.89809429068,Sell
2024-12-23,94686.2421875,94686.2421875,96661.06760214492,Sell
2024-12-24,98676.09375,98676.09375,96263.13016525607,Sell
2024-12-25,99299.1953125,99299.1953125,96336.04466850753,Buy
2024-12-26,95795.515625,95795.515625,95704.03126601657,Sell
2024-12-27,94164.859375,94164.859375,95942.81553569336,Buy
2024-12-28,95163.9296875,95163.9296875,95727.7595342327,Sell
2024-12-29,93530.2265625,93530.2265625,95137.4785343543,Sell
2024-12-30,92643.2109375,92643.2109375,95017.4354403716,Sell
2024-12-31,93429.203125,93429.203125,94969.96147655693,Sell
2025-01-01,94419.7578125,94419.7578125,95422.53025051946,Buy
2025-01-02,96886.875,96886.875,95191.23012752336,Sell
2025-01-03,98107.4296875,98107.4296875,95843.20753962657,Buy
2025-01-04,98236.2265625,98236.2265625,96045.00975414056,Buy
2025-01-05,98314.9609375,98314.9609375,95866.41975277408,Sell
2025-01-06,102078.0859375,102078.0859375,96144.26890293394,Buy
2025-01-07,96922.703125,96922.703125,96472.66968385529,Buy
2025-01-08,95043.5234375,95043.5234375,97271.489447847,Buy
2025-01-09,92484.0390625,92484.0390625,97350.00440753161,Buy
2025-01-10,94701.453125,94701.453125,98269.5012874403,Buy
2025-01-11,94566.59375,94566.59375,98691.75069464774,Buy
2025-01-12,94488.4375,94488.4375,98682.94124842397,Sell
2025-01-13,94516.5234375,94516.5234375,99077.5574866492,Buy
2025-01-14,96534.046875,96534.046875,99468.64220600297,Buy
2025-01-15,100504.4921875,100504.4921875,100276.26369085725,Buy
2025-01-16,99756.90625,99756.90625,100311.12759427623,Buy
2025-01-17,104462.0390625,104462.0390625,101137.10256792516,Buy
2025-01-18,104408.0703125,104408.0703125,101419.58637640213,Buy
2025-01-19,101089.609375,101089.609375,101229.30515580645,Sell
2025-01-20,102016.6640625,102016.6640625,101406.03327640168,Buy
2025-01-21,106146.265625,106146.265625,101548.67959241352,Buy
2025-01-22,103653.0703125,103653.0703125,102083.5661714354,Buy
2025-01-23,103960.171875,103960.171875,101827.84525769028,Sell
2025-01-24,104819.484375,104819.484375,102351.82969147508,Buy
2025-01-25,104714.6484375,104714.6484375,102327.16961969787,Sell
2025-01-26,102682.5,102682.5,101830.47401231594,Sell
2025-01-27,102087.6875,102087.6875,101706.86988517316,Sell
2025-01-28,101332.4765625,101332.4765625,101559.94986298618,Sell
2025-01-29,103703.2109375,103703.2109375,101819.9382847338,Buy
2025-01-30,104735.3046875,104735.3046875,101307.02484154388,Sell
2025-01-31,102405.0234375,102405.0234375,101593.6432460716,Buy
2025-02-01,100655.90625,100655.90625,101352.62897808396,Sell
2025-02-02,97688.9765625,97688.9765625,100660.85479420198,Sell
2025-02-03,101405.421875,101405.421875,100362.8359488754,Sell
2025-02-04,97871.8203125,97871.8203125,100060.7537903173,Sell
2025-02-05,96615.4453125,96615.4453125,100182.72496805842,Buy
2025-02-06,96593.296875,96593.296875,99546.2613925303,Sell
2025-02-07,96529.0859375,96529.0859375,99720.6938337225,Buy
2025-02-08,96482.453125,96482.453125,99375.48799421648,Sell
2025-02-09,96500.09375,96500.09375,98584.04606419515,Sell
2025-02-10,97437.5546875,97437.5546875,98187.47980672967,Sell
2025-02-11,95747.4296875,95747.4296875,97784.79788091303,Sell
2025-02-12,97885.859375,97885.859375,97801.32874488086,Buy
2025-02-13,96623.8671875,96623.8671875,97052.31882689957,Sell
2025-02-14,97508.96875,97508.96875,97105.47382457467,Buy
2025-02-15,97580.3515625,97580.3515625,96629.36765471421,Sell
2025-02-16,96175.03125,96175.03125,95697.30856903584,Sell
2025-02-17,95773.3828125,95773.3828125,95151.1459441727,Sell
2025-02-18,95539.546875,95539.546875,94591.45891672853,Sell
2025-02-19,96635.609375,96635.609375,94445.94784868158,Sell
2025-02-20,98333.9375,98333.9375,93532.96896905948,Sell
2025-02-21,96125.546875,96125.546875,93423.98187237058,Sell
2025-02-22,96577.7578125,96577.7578125,92791.8372766567,Sell
2025-02-23,96273.921875,96273.921875,91714.49838565387,Sell
2025-02-24,91418.171875,91418.171875,91038.68406070578,Sell
2025-02-25,88736.171875,88736.171875,90369.88037943232,Sell
2025-02-26,84347.0234375,84347.0234375,90140.54751684958,Sell
2025-02-27,84704.2265625,84704.2265625,89173.46858646347,Sell
2025-02-28,84373.0078125,84373.0078125,89044.01659316696,Sell
2025-03-01,86031.9140625,86031.9140625,88428.27327462148,Sell
2025-03-02,94248.3515625,94248.3515625,87406.59930904103,Sell
2025-03-03,86065.671875,86065.671875,86827.14974288963,Sell
2025-03-04,87222.1953125,87222.1953125,86295.78619965538,Sell
2025-03-05,90623.5625,90623.5625,86244.21695028535,Sell
2025-03-06,89961.7265625,89961.7265625,85493.3146395409,Sell
2025-03-07,86742.671875,86742.671875,85615.3898692921,Buy
2025-03-08,86154.59375,86154.59375,85282.35527070324,Sell
2025-03-09,80601.0390625,80601.0390625,84569.37915538665,Sell
2025-03-10,78532.0,78532.0,84318.52095717101,Sell
2025-03-11,82862.2109375,82862.2109375,84128.79715878378,Sell
2025-03-12,83722.359375,83722.359375,84424.50475976904,Buy
2025-03-13,81066.703125,81066.703125,84018.74700428154,Sell
2025-03-14,83969.1015625,83969.1015625,84475.93358284095,Buy
2025-03-15,84343.109375,84343.109375,84460.18321339854,Sell
2025-03-16,82579.6875,82579.6875,84039.22042291517,Sell
2025-03-17,84075.6875,84075.6875,84048.25114795937,Buy
2025-03-18,82718.5,82718.5,84080.25816272685,Buy
2025-03-19,86854.2265625,86854.2265625,84554.53585144939,Buy
2025-03-20,84167.1953125,84167.1953125,84280.40188886548,Sell
2025-03-21,84043.2421875,84043.2421875,84819.8515036271,Buy
2025-03-22,83832.484375,83832.484375,84836.07652233467,Buy
2025-03-23,86054.375,86054.375,84397.4363335929,Sell
2025-03-24,87498.9140625,87498.9140625,84341.36190101811,Sell
2025-03-25,87471.703125,87471.703125,84264.63166919397,Sell
2025-03-26,86900.8828125,86900.8828125,84591.83813472331,Buy
2025-03-27,87177.1015625,87177.1015625,84138.98337440882,Sell
2025-03-28,84353.1484375,84353.1484375,84475.97141585349,Buy
2025-03-29,82597.5859375,82597.5859375,84274.92330543943,Sell
2025-03-30,82334.5234375,82334.5234375,83613.90703681485,Sell
2025-03-31,82548.9140625,82548.9140625,83340.56973659692,Sell
