Date,Actual,Predicted,Signal
2025-06-30,,2473.3737307875435,Hold
2025-07-01,,2504.544441312505,Buy
2025-07-02,,2477.874918058727,Sell
2025-07-03,,2488.9992002585154,Buy
2025-07-04,,2467.123456502949,Sell
2025-07-05,,2504.483288073695,Buy
2025-07-06,,2482.454215985979,Sell
2025-07-07,,2485.447551937395,Buy
2025-07-08,,2461.3038315071767,Sell
2025-07-09,,2501.873788201578,Buy
2025-07-10,,2486.2299377877366,Sell
2025-07-11,,2467.4285791842635,Sell
2025-07-12,,2497.5158554600844,Buy
2025-07-13,,2483.583496178036,Sell
2025-07-14,,2471.2040435281065,Sell
2025-07-15,,2492.3355393793554,Buy
2025-07-16,,2469.119854210263,Sell
2025-07-17,,2501.4966397582652,Buy
2025-07-18,,2477.3292991659414,Sell
2025-07-19,,2494.2008854334886,Buy
2025-07-20,,2461.1370520549394,Sell
2025-07-21,,2503.2150379225604,Buy
2025-07-22,,2484.9826502307706,Sell
2025-07-23,,2468.5826520602404,Sell
2025-07-24,,2495.371892081178,Buy
2025-07-25,,2474.515444216773,Sell
2025-07-26,,2497.1058530557916,Buy
2025-07-27,,2473.9826650513583,Sell
2025-07-28,,2498.259925931768,Buy
2025-07-29,,2478.10351351202,Sell
