Date,Actual,Predicted,Signal
2025-06-30,,2482.734,Hold
2025-07-01,,2500.036,Buy
2025-07-02,,2485.3403,Sell
2025-07-03,,2485.3403,Hold
2025-07-04,,2492.4102,Buy
2025-07-05,,2498.2156,Buy
2025-07-06,,2496.7185,Sell
2025-07-07,,2496.7185,Hold
2025-07-08,,2498.2156,Buy
2025-07-09,,2498.2156,Hold
2025-07-10,,2498.2156,Hold
2025-07-11,,2498.2156,Hold
2025-07-12,,2498.2156,Hold
2025-07-13,,2498.2156,Hold
2025-07-14,,2498.2156,Hold
2025-07-15,,2498.2156,Hold
2025-07-16,,2498.2156,Hold
2025-07-17,,2498.2156,Hold
2025-07-18,,2498.2156,Hold
2025-07-19,,2498.2156,Hold
2025-07-20,,2498.2156,Hold
2025-07-21,,2498.2156,Hold
2025-07-22,,2498.2156,Hold
2025-07-23,,2498.2156,Hold
2025-07-24,,2498.2156,Hold
2025-07-25,,2498.2156,Hold
2025-07-26,,2498.2156,Hold
2025-07-27,,2498.2156,Hold
2025-07-28,,2498.2156,Hold
2025-07-29,,2498.2156,Hold
