Date,Actual,Predicted,Signal
2025-06-30,,101409.53,Hold
2025-07-01,,101724.44,Buy
2025-07-02,,102906.25,Buy
2025-07-03,,103324.234,Buy
2025-07-04,,102942.06,Sell
2025-07-05,,102995.18,Buy
2025-07-06,,103153.195,Buy
2025-07-07,,103028.33,Sell
2025-07-08,,103028.33,Hold
2025-07-09,,103028.33,Hold
2025-07-10,,103028.33,Hold
2025-07-11,,103028.33,Hold
2025-07-12,,103028.33,Hold
2025-07-13,,103028.33,Hold
2025-07-14,,103028.33,Hold
2025-07-15,,103028.33,Hold
2025-07-16,,103028.33,Hold
2025-07-17,,103028.33,Hold
2025-07-18,,103028.33,Hold
2025-07-19,,103028.33,Hold
2025-07-20,,103028.33,Hold
2025-07-21,,103028.33,Hold
2025-07-22,,103028.33,Hold
2025-07-23,,103028.33,Hold
2025-07-24,,103028.33,Hold
2025-07-25,,103028.33,Hold
2025-07-26,,103028.33,Hold
2025-07-27,,103028.33,Hold
2025-07-28,,103028.33,Hold
2025-07-29,,103028.33,Hold
