Date,Actual,Predicted,Signal
2024-07-08,56705.09765625,57795.566,Hold
2024-07-09,58009.2265625,57799.344,Buy
2024-07-10,57742.49609375,57501.008,Sell
2024-07-11,57344.9140625,57775.406,Buy
2024-07-12,57899.46484375,58494.094,Buy
2024-07-13,59231.953125,59790.375,Buy
2024-07-14,60787.79296875,63890.953,Buy
2024-07-15,64870.15234375,64537.387,Buy
2024-07-16,65097.1484375,64326.086,Sell
2024-07-17,64118.79296875,64269.703,Sell
2024-07-18,63974.06640625,64990.613,Buy
2024-07-19,66710.15625,67584.55,Buy
2024-07-20,67163.6484375,67355.164,Sell
2024-07-21,68154.5234375,67799.16,Buy
2024-07-22,67585.25,66788.08,Sell
2024-07-23,65927.671875,65522.56,Sell
2024-07-24,65372.1328125,65104.78,Sell
2024-07-25,65777.2265625,66697.88,Buy
2024-07-26,67912.0625,68075.8,Buy
2024-07-27,67813.3359375,67949.16,Sell
2024-07-28,68255.8671875,67510.59,Sell
2024-07-29,66819.9140625,66701.86,Sell
2024-07-30,66201.015625,65720.6,Sell
2024-07-31,64619.25,65154.53,Sell
2024-08-01,65357.5,62974.094,Sell
2024-08-02,61415.06640625,60403.773,Sell
2024-08-03,60680.09375,59841.684,Sell
2024-08-04,58116.9765625,54921.188,Sell
2024-08-05,53991.45703125,55909.844,Buy
2024-08-06,56034.31640625,55344.086,Sell
2024-08-07,55027.4609375,60636.285,Buy
2024-08-08,61710.13671875,61087.324,Buy
2024-08-09,60880.11328125,60572.543,Sell
2024-08-10,60945.8125,59606.41,Sell
2024-08-11,58719.484375,59083.59,Sell
2024-08-12,59354.515625,59828.867,Buy
2024-08-13,60609.56640625,59839.78,Buy
2024-08-14,58737.26953125,57446.504,Sell
2024-08-15,57560.09765625,59034.566,Buy
2024-08-16,58894.10546875,59518.195,Buy
2024-08-17,59478.97265625,58950.81,Sell
2024-08-18,58483.96484375,59441.25,Buy
2024-08-19,59493.453125,58941.035,Sell
2024-08-20,59012.79296875,60751.97,Buy
2024-08-21,61175.19140625,60845.484,Buy
2024-08-22,60381.9140625,62923.902,Buy
2024-08-23,64094.35546875,64244.77,Buy
2024-08-24,64178.9921875,64335.51,Buy
2024-08-25,64333.54296875,64079.3,Sell
2024-08-26,62880.66015625,60916.617,Sell
2024-08-27,59504.1328125,58768.156,Sell
2024-08-28,59027.625,59319.246,Buy
2024-08-29,59388.1796875,59189.113,Sell
2024-08-30,59119.4765625,59358.863,Buy
2024-08-31,58969.8984375,58300.95,Sell
2024-09-01,57325.48828125,58709.242,Buy
2024-09-02,59112.48046875,58278.836,Sell
2024-09-03,57431.0234375,57894.875,Sell
2024-09-04,57971.5390625,56990.082,Sell
2024-09-05,56160.48828125,54382.984,Sell
2024-09-06,53948.75390625,54398.375,Buy
2024-09-07,54139.6875,55393.38,Buy
2024-09-08,54841.56640625,57105.785,Buy
2024-09-09,57019.53515625,57723.64,Buy
2024-09-10,57648.7109375,57744.965,Buy
2024-09-11,57343.171875,57913.117,Buy
2024-09-12,58127.01171875,60179.645,Buy
2024-09-13,60571.30078125,60923.914,Buy
2024-09-14,60005.12109375,59609.258,Sell
2024-09-15,59182.8359375,58971.695,Sell
2024-09-16,58192.5078125,59993.715,Buy
2024-09-17,60308.5390625,61440.133,Buy
2024-09-18,61649.6796875,62490.16,Buy
2024-09-19,62940.45703125,63163.754,Buy
2024-09-20,63192.9765625,63099.13,Sell
2024-09-21,63394.83984375,63671.176,Buy
2024-09-22,63648.7109375,63422.652,Sell
